well,operation,volume,unix_time,JST(GMT+9),tip_from,remark
"H1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696469008.1379943,Thu Oct  5 01:23:28 2023,H1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696469033.8450618,Thu Oct  5 01:23:53 2023,A2 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696469046.5279634,Thu Oct  5 01:24:06 2023,A2 of Opentrons 96 Tip Rack 300 µL on 4,
"A2 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696469046.5280178,Thu Oct  5 01:24:06 2023,A2 of Opentrons 96 Tip Rack 300 µL on 4,
"A3 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696469072.415304,Thu Oct  5 01:24:32 2023,B2 of Opentrons 96 Tip Rack 300 µL on 4,
"A3 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696469099.9879403,Thu Oct  5 01:24:59 2023,B2 of Opentrons 96 Tip Rack 300 µL on 4,
"B2 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696469099.9879947,Thu Oct  5 01:24:59 2023,B2 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696469130.7456658,Thu Oct  5 01:25:30 2023,C2 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696469158.3682494,Thu Oct  5 01:25:58 2023,C2 of Opentrons 96 Tip Rack 300 µL on 4,
"C2 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696469158.3683057,Thu Oct  5 01:25:58 2023,C2 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696469189.105789,Thu Oct  5 01:26:29 2023,D2 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696469216.658037,Thu Oct  5 01:26:56 2023,D2 of Opentrons 96 Tip Rack 300 µL on 4,
"D2 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696469216.6580925,Thu Oct  5 01:26:56 2023,D2 of Opentrons 96 Tip Rack 300 µL on 4,
